"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","C_price"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2","Agriculture",1560,41,0.207639364778245,3.02509659734465,2.62669320310284,0.885435731781629,0.424676804851153,0.157894736842105,0
"4","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1","Agriculture",1560,41,0.0500104205746612,3.57751399895485,3.12174554333888,1.12855474045358,0.497699244953922,0.894736842105263,0
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3","Agriculture",1560,41,-0.129875081421412,1.72133079410101,2.68785767180596,0.0885525817860862,0.326936760584516,0.815789473684211,0
"11","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG1 - NUE","Agriculture",1560,41,0.0500104205746612,3.57751399895485,3.12174554333888,1.15214998136275,0.497699244953922,0.894736842105263,0
"13","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","Agriculture",1535.37,16.3699999999999,0.339214205819281,0.662050917233198,0.600051336654963,0.725487154949798,0.521019659277793,0.457286432160804,0
"16","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_C","Agriculture",1535.37,16.3699999999999,-0.0372361917637322,-0.0788828240540551,0.241802625960722,0.0771826109080296,0.464745908326201,0.231155778894472,0
"17","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Healthy_D","Agriculture",1535.37,16.3699999999999,0.0320464242341258,-0.0796821644047685,0.240758863456372,0.0762772151592941,0.464946515126509,0.153266331658291,0
"19","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","Agriculture",1535.37,16.3699999999999,0.308603175796555,-0.166323874038002,0.197045085062209,0.0378820365357722,0.291930739996779,-0.0226130653266331,0
"158","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU","Agriculture",1429.7969100368,-89.2030899631961,0.511562252565196,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0
"160","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)","Agriculture",1429.7969100368,-89.2030899631961,0.211711154676902,-0.0847046423775345,-0.137056925731803,-0.0919053729388294,0.747332141530787,0,0
"163","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)","Agriculture",1429.7969100368,-89.2030899631961,0.51156224750009,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0
"164","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)","Agriculture",1429.7969100368,-89.2030899631961,0.51156224750009,0.814845955652802,0.705092339517884,0.802978662595083,0.548581554140418,0,0
"165","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","Agriculture",1429.7969100368,-89.2030899631961,-0.345778755573821,-0.387725661361061,-0.422971799736326,-0.391275849326701,0.557994025442972,0.5,0
"254","FAO (2018)",2030,"FAO GAPS - ENVISAGE","Agriculture","TSS","Agriculture",1600.953207,81.953207,-0.0297160141401227,0.132566406265754,0.173356298626862,0.11117054563405,0.28656633459233,0.0319311080219222,0
