"","Study","ScenYear","Model","Scope","Scenario..author.code.","Initial_condition","Delta_initial","CH4","Rum_meat_kcal_GHG","Non_rum_kcal_GHG","Dairy_kcal_GHG","Plant_kcal_GHG","Yield","GHG_eff_CH4","rstand"
"2","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT2",150.4,15.8749179,0.620061598843916,0.642896570344756,0.797410870809896,0.480282940041975,0.424676804851153,0.157894736842105,0,1.46797294649339
"3","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","CT3",150.4,15.8749179,0.136518946713853,0.0466656900388491,-0.089757220250208,0.418406796848447,0.326936760584516,0.105263157894737,0,-1.41775534678383
"5","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG2",150.4,15.8749179,0.582156186254833,0.642896570344756,0.797410870809896,0.480282940041975,0.424676804851153,0.842105263157895,0,1.69057803383536
"6","Bajzelj et al. (2014)",2050,"Bajzelj et al. (2014)","Agriculture","YG3",150.4,15.8749179,0.0792240420527004,0.0466656900388491,-0.089757220250208,0.418406796848447,0.326936760584516,0.815789473684211,0,-1.5185241607781
"144","Clark et al. (2020)",2040,"Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 100%+Medium_Fertility+Efficiency Slider 100%+Efficiency_Increased_040%+100% To Max Yields + 50% from BAU trends+Waste_Reduced_50%+Waste Slider 100%",122.489183017857,-12.0358990821429,-0.561279494846404,-0.348138872431831,-0.286130735084412,0.624922990077893,0.246881859473841,1.20706062310522,0.266666667,-2.24432479685165
"194","Clark et al. (2020)",2050,"Clark et al. (2020)","Food","Converge_2050+Diet Intensity Slider 50%+Medium_Fertility+Efficiency Slider 100%+Efficiency_Increased_040%+100% To Max Yields + 50% from BAU trends+Waste_Reduced_50%+Waste Slider 100%",122.489183017857,-12.0358990821429,-0.538090418705079,-0.210386767519433,-0.245373473842112,1.47465269029914,0.363681085501734,1.77302599770057,0.4,-1.39347907930958
"198","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Diet)",138.291935546794,3.76685344679376,-0.0733133493244861,-0.0847046423775345,-0.0919053729388295,-0.137056925731803,0.747332141530787,0,0,-1.91319228806372
"203","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)",138.291935546794,3.76685344679376,-0.285574929262986,-0.387725661361061,-0.391275849326701,-0.422971799736326,0.557994025442972,0.5,0,-1.50981269576823
"249","FAO (2018)",2030,"FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.228879101279156,0.304201992626248,0.256334231619285,0.285685864064835,0.319993382227915,0.129291001218593,0,1.46252314038858
"252","FAO (2018)",2035,"FAO GAPS - ENVISAGE","Agriculture","SSS",145.34,10.8149179,0.251551392389597,0.331005578844826,0.279697482956616,0.312340315551753,0.386546619755326,0.154291206812565,0,1.53557977784995
