"","Study","ScenYear","Model","Scope","Scenario..author.code.","Pasture.scope","Initial_condition","Delta_initial","C_price_cat","Pasture","Rum_meat_grass_feed","Dairy_grass_feed","Mon_grass_feed","C_price","rstand"
"8","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Metropolitization_Animp","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,"No",0.20911754660339,0.662050917233198,0.600051336654963,0.260179971516898,0,-1.59724303427851
"14","CIRAD (2016)",2050,"GlobAgri-AgT","Agriculture","Communities_collapse","FAO - Permanent meadows and pastures",3337.74,60.7399999999998,"No",0.436933374079467,0.105258794675899,0.321588994114788,0.507922993141012,0,2.0776347494032
"15","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","BAU","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.781589520534003,0.814845955652802,0.705092339517884,0.428856300139999,0,1.48035536765461
"16","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Waste)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.59229300925875,0.626171253207116,0.528344962860542,0.428854702192868,0,1.0777179506956
"19","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Yield)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.187726347022668,0.814845955652802,0.705092339517884,0.428856300139999,0,-2.28738357868165
"20","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Volat)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.781589520534003,0.814845955652802,0.705092339517884,0.428856300139999,0,1.48035536765461
"21","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+Loss)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",0.781589520534003,0.814845955652802,0.705092339517884,0.428856300139999,0,1.48035536765461
"22","Conijn et al. (2018)",2050,"BIOSPACS","Agriculture","(+All)","FAO - Permanent meadows and pastures",3306.56753465931,29.5675346593061,"No",-0.595549096882483,-0.387725661361061,-0.422971799736326,0.0716297136909507,0,-2.16756817777382
"55","Davis et al. (2016)",2040,"Davis et al. (2016)","Food","B","FAO - Permanent meadows and pastures",3363.81054,86.8105399999999,"No",0.783151294019424,0.72243128398199,0.856510566345083,0.368131725831382,0,2.14709546603549
"120","Odegard & van der Voet (2014)",2050,"Odegard & van der Voet (2014)","Agriculture","A1","FAO - other",2285.71428571429,-991.285714285714,"No",-0.43125,-0.103372476197861,0.133030278461055,0.0569097496080817,0,-0.939272455779107
"134","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: INT PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",-0.292987804878049,0.868013019535187,-0.861897486524405,-0.80972872909354,0,-2.32565030554439
"144","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","WR: EL PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",0.0237804878048782,1.23013192290577,-0.606271025770601,0.915916187787711,0,-1.80468974601166
"158","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR INT PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",-0.292987804878049,0.868013019535187,-0.861897486524405,-0.80972872909354,0,-2.32565030554439
"168","Roos et al. (2017) with pasture",2050,"Roos et al. (2017) with pasture","Agriculture","YGR+WR EL PD + PASTURE","FAO - Permanent meadows and pastures",3280,2.99999999999955,"No",0.0237804878048782,1.23013192290577,-0.606271025770601,0.915916187787711,0,-1.80468974601166
"170","Searchinger et al. (2018)",2050,"GlobAgri-WRR","Agriculture","No productivity gains after 2010","FAO - Permanent meadows and pastures",3322,45,"No",0.661950632149308,0.862967953743291,0.674696740582215,0.4,0,1.44485037768857
